lat,lon,name,type
29.52027778,78.75916667,Kalagarh Dam,Inflow
25.89,90.01805556,JINJIRAM,Level
18.47388889,74.57638889,Dhond,Level
16.94916667,74.52972222,NANDRE,Level
23.46638889,87.31638889,Durgapur Barrage,Inflow
14.48,79.3,Somasila Dam,Inflow
26.98488889,94.77666667,Nanglamoraghat,Level
17.17,76.33,Deongaon Bridge,Level
24.3175,91.99388889,KAILASHAHAR GDSQ SITE,Level
16.815,81.81638889,Atreyapuram (Gauthami),Level
22.11944444,79.17361111,Pench Reservoir (Machagora Dam),Inflow
23.92944444,85.76194444,Konar Reservoir,Inflow
25.77,80.53,CHILLAGHAT,Level
16.78194444,74.63222222,Arjunwad (Seasonal),Level
27.5975,88.65055556,Teesta- 3 Dam,Inflow
15.845,78.0375,Kurnool Town,Level
16.02,80.91,Avanigadda,Level
16.5,80.6,Prakasam Barrage,Inflow
11.52,77.51,SAVANDAPUR,Level
28.82555556,78.79833333,Moradabad,Level
20.83361111,75.42388889,DAHIGAON,Level
30.40055556,79.04194444,Ganga Nagar,Level
10.93805556,78.44027778,MUSIRI,Level
25.55555556,77.85277778,MADIKHERA(ATAL SAGAR) DAM,Inflow
26.45416667,88.24444444,Sonapur,Base
26.72027778,88.37777778,Matigara,Base
25.98055556,90.79055556,DUDHNAI,Base
25.98055556,90.79055556,Dudhnoi,Base
26.12027778,91.97833333,SONAPUR,Base
27.06666667,93.60027778,Chimpu,Base
24.18722222,75.23944444,Nahargarh,Base
13.67666667,79.52166667,MALLI MADUGU.,Base
24.43083333,83.86222222,Mohammad Ganj,Base
27.39526389,93.75739167,Yazali,Base
22.78527778,93.085,PANGKHUAH,Base
31.56638889,77.98305556,NATHPA,Base
20.6625,75.27027778,BAMRUL,Base
31.04027778,78.74055556,Harshil,Base
26.19972222,90.57388889,PANCHARATNA,Base
18.99361111,83.81194444,KATRAGADDA,Base
30.89722222,77.19666667,Gaura,Base
30.09055556,77.40833333,Ghodopipli,Base
26.49222222,89.70083333,Chepan,Base
27.23666667,82.99611111,Kakrahi,Base
24.58694444,72.70361111,Mount Abu,Base
21.12833333,75.66722222,PIMPRI,Base
27.12714444,79.28841111,Kasmara,Base
21.4325,76.43777778,NAWTHA,Base
33.90388889,75.28194444,Ganeshpura,Base
22.22638889,84.80611111,Panposh,Base
23.37055556,85.86916667,Muri,Base
20.94666667,76.20305556,TALASWADA,Base
22.65027778,72.535,Vautha,Base
23.5475,72.01527778,Sapawada,Base
20.98833333,76.71666667,WANKHED,Base
20.9575,76.27916667,DHUPESHWAR,Base
23.52833889,91.652825,Amarpur,Base
22.17166667,75.66083333,Mandleshwar,Base
